label,pattern,replace,language
dispersal_term,alate,alate,english
dispersal_term,wing,wing,english
dispersal_term,wings,wing,english
dispersal_term,winged,winged,english
dispersal_term,winged fruit,winged fruit,english
dispersal_term,winged fruits,winged fruit,english
dispersal_term,winged seed,winged seed,english
dispersal_term,winged seeds,winged seed,english
dispersal_term,awn,awn,english
dispersal_term,awns,awn,english
dispersal_term,awned,awned,english
dispersal_term,coma,coma,english
dispersal_term,comas,coma,english
dispersal_term,comose,comose,english
dispersal_term,feathery,feathery,english
dispersal_term,pappose,pappose,english
dispersal_term,pappus,pappus,english
dispersal_term,pappi,pappus,english
dispersal_term,plumed,plumed,english
dispersal_term,plumose,plumose,english
dispersal_term,seed hairs,seed hairs,english
dispersal_term,seed hair,seed hairs,english
dispersal_term,silky hairs,silky hairs,english
dispersal_term,silky hair,silky hairs,english
dispersal_term,tuft of hairs,tuft of hairs,english
dispersal_term,tuft of hair,tuft of hairs,english
dispersal_term,aril,aril,english
dispersal_term,arils,aril,english
dispersal_term,arillate,arillate,english
dispersal_term,arillate seed,arillate seed,english
dispersal_term,arillate seeds,arillate seed,english
dispersal_term,arillode,arillode,english
dispersal_term,arillodes,arillode,english
dispersal_term,edible pulp,edible pulp,english
dispersal_term,fleshy,fleshy,english
dispersal_term,fleshy fruit,fleshy fruit,english
dispersal_term,fleshy fruits,fleshy fruit,english
dispersal_term,fleshy mesocarp,fleshy mesocarp,english
dispersal_term,fleshy mesocarps,fleshy mesocarp,english
dispersal_term,fleshy pericarp,fleshy pericarp,english
dispersal_term,fleshy pericarps,fleshy pericarp,english
dispersal_term,fleshy seed coat,fleshy seed coat,english
dispersal_term,fleshy seed coats,fleshy seed coat,english
dispersal_term,fleshy testa,fleshy testa,english
dispersal_term,fleshy testas,fleshy testa,english
dispersal_term,juicy,juicy,english
dispersal_term,juicy fruit,juicy fruit,english
dispersal_term,juicy fruits,juicy fruit,english
dispersal_term,pulpy,pulpy,english
dispersal_term,pulpy fruit,pulpy fruit,english
dispersal_term,pulpy fruits,pulpy fruit,english
dispersal_term,sarcotesta,sarcotesta,english
dispersal_term,sarcotestas,sarcotesta,english
dispersal_term,seed enclosed in aril,seed enclosed in aril,english
dispersal_term,seeds enclosed in aril,seed enclosed in aril,english
dispersal_term,succulent,succulent,english
dispersal_term,succulent fruit,succulent fruit,english
dispersal_term,succulent fruits,succulent fruit,english
dispersal_term,sweet pulp,sweet pulp,english
dispersal_term,barbed,barbed,english
dispersal_term,barbs,barbs,english
dispersal_term,barb,barbs,english
dispersal_term,burr,burr,english
dispersal_term,burrs,burr,english
dispersal_term,burr-like,burr-like,english
dispersal_term,clinging,clinging,english
dispersal_term,glochid,glochid,english
dispersal_term,glochidia,glochidia,english
dispersal_term,hooked,hooked,english
dispersal_term,hooks,hooks,english
dispersal_term,hook,hooks,english
dispersal_term,retrorse,retrorse,english
dispersal_term,spines,spines,english
dispersal_term,spine,spines,english
dispersal_term,spiny,spiny,english
dispersal_term,uncinate,uncinate,english
dispersal_term,adhesive,adhesive,english
dispersal_term,glutinous,glutinous,english
dispersal_term,gummy,gummy,english
dispersal_term,mucilage,mucilage,english
dispersal_term,mucilaginous,mucilaginous,english
dispersal_term,resinous,resinous,english
dispersal_term,sticky,sticky,english
dispersal_term,sticky seed,sticky seed,english
dispersal_term,sticky seeds,sticky seed,english
dispersal_term,viscid,viscid,english
dispersal_term,viscid seed,viscid seed,english
dispersal_term,viscid seeds,viscid seed,english
dispersal_term,ant-dispersed,ant-dispersed,english
dispersal_term,caruncle,caruncle,english
