label,pattern,replace,language
fruit_type_term,achene,achene,english
fruit_type_term,achenes,achene,english
fruit_type_term,cypsela,achene,english
fruit_type_term,cypselas,achene,english
fruit_type_term,anthocarp,anthocarp,english
fruit_type_term,anthocarps,anthocarp,english
fruit_type_term,amphisarca,berry,english
fruit_type_term,amphisarcas,berry,english
fruit_type_term,arillocarpium,berry,english
fruit_type_term,arillocarpiums,berry,english
fruit_type_term,balausta,berry,english
fruit_type_term,balaustas,berry,english
fruit_type_term,balaustae,berry,english
fruit_type_term,berry,berry,english
fruit_type_term,berries,berry,english
fruit_type_term,cactidium,berry,english
fruit_type_term,cactidiums,berry,english
fruit_type_term,epispermatium,berry,english
fruit_type_term,epispermatiums,berry,english
fruit_type_term,hesperidium,berry,english
fruit_type_term,hesperidiums,berry,english
fruit_type_term,pepo,berry,english
fruit_type_term,pepos,berry,english
fruit_type_term,syncarp,berry,english
fruit_type_term,syncarps,berry,english
fruit_type_term,capsule,capsule,english
fruit_type_term,capsules,capsule,english
fruit_type_term,circumscissile,capsule,english
fruit_type_term,circumscissile,capsule,english
fruit_type_term,loculicidal,capsule,english
fruit_type_term,poricidal,capsule,english
fruit_type_term,pyxis,capsule,english
fruit_type_term,pyxides,capsule,english
fruit_type_term,septicidal,capsule,english
fruit_type_term,silicle,capsule,english
fruit_type_term,silicles,capsule,english
fruit_type_term,silique,capsule,english
fruit_type_term,siliques,capsule,english
fruit_type_term,caryopsis,caryopsis,english
fruit_type_term,caryopses,caryopsis,english
fruit_type_term,grain,caryopsis,english
fruit_type_term,grains,caryopsis,english
fruit_type_term,drupe,drupe,english
fruit_type_term,drupes,drupes,english
fruit_type_term,drupelet,drupes,english
fruit_type_term,drupelets,drupes,english
fruit_type_term,drupetum,drupe,english
fruit_type_term,drupetums,drupe,english
fruit_type_term,pseudodrupe,drupe,english
fruit_type_term,pseudodrupes,drupe,english
fruit_type_term,stone fruit,drupe,english
fruit_type_term,stone fruits,drupe,english
fruit_type_term,follicle,follicle,english
fruit_type_term,follicles,follicle,english
fruit_type_term,cone,gymnosperm_cone,english
fruit_type_term,cones,gymnosperm_cone,english
fruit_type_term,megastrobilus,gymnosperm_cone,english
fruit_type_term,megastrobili,gymnosperm_cone,english
fruit_type_term,microstrobilus,gymnosperm_cone,english
fruit_type_term,microstrobili,gymnosperm_cone,english
fruit_type_term,strobili,gymnosperm_cone,english
fruit_type_term,strobilus,gymnosperm_cone,english
fruit_type_term,berry-like cone,gymnosperm_fleshy_cone,english
fruit_type_term,berry-like cones,gymnosperm_fleshy_cone,english
fruit_type_term,cone berry,gymnosperm_fleshy_cone,english
fruit_type_term,cone berries,gymnosperm_fleshy_cone,english
fruit_type_term,galbulus,gymnosperm_fleshy_cone,english
fruit_type_term,galbuli,gymnosperm_fleshy_cone,english
fruit_type_term,legume,legume,english
fruit_type_term,legumes,legume,english
fruit_type_term,loment,legume,english
fruit_type_term,loments,legume,english
fruit_type_term,pod,legume,english
fruit_type_term,pods,legume,english
fruit_type_term,nut,nut,english
fruit_type_term,nuts,nut,english
fruit_type_term,nutlet,nutlet,english
fruit_type_term,nutlets,nutlet,english
fruit_type_term,nuculanium,pome,english
fruit_type_term,nuculania,pome,english
fruit_type_term,pome,pome,english
fruit_type_term,pomes,pome,english
fruit_type_term,samara,samara,english
fruit_type_term,samaras,samara,english
fruit_type_term,samaroid,samara,english
fruit_type_term,samaroids,samara,english
fruit_type_term,camara,schizocarp,english
fruit_type_term,camaras,schizocarp,english
fruit_type_term,carcerulus,schizocarp,english
fruit_type_term,carceruli,schizocarp,english
fruit_type_term,coccus,schizocarp,english
fruit_type_term,cocci,schizocarp,english
fruit_type_term,cremocarp,schizocarp,english
fruit_type_term,cremocarps,schizocarp,english
fruit_type_term,mericarp,schizocarp,english
fruit_type_term,mericarps,schizocarp,english
fruit_type_term,regma,schizocarp,english
fruit_type_term,regmata,schizocarp,english
fruit_type_term,schizocarp,schizocarp,english
fruit_type_term,schizocarps,schizocarp,english
fruit_type_term,sorosis,sorosis,english
fruit_type_term,soroses,sorosis,english
fruit_type_term,syconium,syconium,english
fruit_type_term,syconia,syconium,english
fruit_type_term,utricle,utricle,english

fruit_type_term,akène,achene,french
fruit_type_term,akène ailé,achene,french
fruit_type_term,akènes,achene,french
fruit_type_term,akènes ailés,achene,french
fruit_type_term,cypsèle,achene,french
fruit_type_term,cypsèles,achene,french
fruit_type_term,anthocarpe,anthocarp,french
fruit_type_term,anthocarpes,anthocarp,french
fruit_type_term,amphis arques,berry,french
fruit_type_term,amphisarque,berry,french
fruit_type_term,arillocarpe,berry,french
