label,pattern,replace
fruit_type_term,achene,achene
fruit_type_term,achenes,achene
fruit_type_term,cypsela,achene
fruit_type_term,cypselas,achene
fruit_type_term,anthocarp,anthocarp
fruit_type_term,anthocarps,anthocarp
fruit_type_term,amphisarca,berry
fruit_type_term,amphisarcas,berry
fruit_type_term,arillocarpium,berry
fruit_type_term,arillocarpiums,berry
fruit_type_term,balausta,berry
fruit_type_term,balaustas,berry
fruit_type_term,balaustae,berry
fruit_type_term,berry,berry
fruit_type_term,berries,berry
fruit_type_term,cactidium,berry
fruit_type_term,cactidiums,berry
fruit_type_term,epispermatium,berry
fruit_type_term,epispermatiums,berry
fruit_type_term,hesperidium,berry
fruit_type_term,hesperidiums,berry
fruit_type_term,pepo,berry
fruit_type_term,pepos,berry
fruit_type_term,syncarp,berry
fruit_type_term,syncarps,berry
fruit_type_term,capsule,capsule
fruit_type_term,capsules,capsule
fruit_type_term,circumscissile,capsule
fruit_type_term,circumscissile,capsule
fruit_type_term,loculicidal,capsule
fruit_type_term,poricidal,capsule
fruit_type_term,pyxis,capsule
fruit_type_term,pyxides,capsule
fruit_type_term,septicidal,capsule
fruit_type_term,silicle,capsule
fruit_type_term,silicles,capsule
fruit_type_term,silique,capsule
fruit_type_term,siliques,capsule
fruit_type_term,caryopsis,caryopsis
fruit_type_term,caryopses,caryopsis
fruit_type_term,grain,caryopsis
fruit_type_term,grains,caryopsis
fruit_type_term,drupe,drupe
fruit_type_term,drupes,drupes
fruit_type_term,drupelet,drupes
fruit_type_term,drupelets,drupes
fruit_type_term,drupetum,drupe
fruit_type_term,drupetums,drupe
fruit_type_term,pseudodrupe,drupe
fruit_type_term,pseudodrupes,drupe
fruit_type_term,stone fruit,drupe
fruit_type_term,stone fruits,drupe
fruit_type_term,follicle,follicle
fruit_type_term,follicles,follicle
fruit_type_term,cone,gymnosperm_cone
fruit_type_term,cones,gymnosperm_cone
fruit_type_term,megastrobilus,gymnosperm_cone
fruit_type_term,megastrobili,gymnosperm_cone
fruit_type_term,microstrobilus,gymnosperm_cone
fruit_type_term,microstrobili,gymnosperm_cone
fruit_type_term,strobili,gymnosperm_cone
fruit_type_term,strobilus,gymnosperm_cone
fruit_type_term,berry-like cone,gymnosperm_fleshy_cone
fruit_type_term,berry-like cones,gymnosperm_fleshy_cone
fruit_type_term,cone berry,gymnosperm_fleshy_cone
fruit_type_term,cone berries,gymnosperm_fleshy_cone
fruit_type_term,galbulus,gymnosperm_fleshy_cone
fruit_type_term,galbuli,gymnosperm_fleshy_cone
fruit_type_term,legume,legume
fruit_type_term,legumes,legume
fruit_type_term,loment,legume
fruit_type_term,loments,legume
fruit_type_term,pod,legume
fruit_type_term,pods,legume
fruit_type_term,nut,nut
fruit_type_term,nuts,nut
fruit_type_term,nutlet,nutlet
fruit_type_term,nutlets,nutlet
fruit_type_term,nuculanium,pome
fruit_type_term,nuculania,pome
fruit_type_term,pome,pome
fruit_type_term,pomes,pome
fruit_type_term,samara,samara
fruit_type_term,samaras,samara
fruit_type_term,samaroid,samara
fruit_type_term,samaroids,samara
fruit_type_term,camara,schizocarp
fruit_type_term,camaras,schizocarp
fruit_type_term,carcerulus,schizocarp
fruit_type_term,carceruli,schizocarp
fruit_type_term,coccus,schizocarp
fruit_type_term,cocci,schizocarp
fruit_type_term,cremocarp,schizocarp
fruit_type_term,cremocarps,schizocarp
fruit_type_term,mericarp,schizocarp
fruit_type_term,mericarps,schizocarp
fruit_type_term,regma,schizocarp
fruit_type_term,regmata,schizocarp
fruit_type_term,schizocarp,schizocarp
fruit_type_term,schizocarps,schizocarp
fruit_type_term,sorosis,sorosis
fruit_type_term,soroses,sorosis
fruit_type_term,syconium,syconium
fruit_type_term,syconia,syconium
fruit_type_term,utricle ,utricle
