label,pattern,replace,type
bad_part,plant atlas,,bad_part
bad_part,atlas des plantes,,bad_part
bad_part,plant atlas,,bad_part
bad_part,atlas de plantas,,bad_part
bad_part,Pflanzenatlas,,bad_part
bad_part,bitki atlası,,bad_part
bad_part,atlas de plantas,,bad_part
bad_part,plant inventory,,bad_part
bad_part,inventaire des plantes,,bad_part
bad_part,plant inventory,,bad_part
bad_part,inventario de planta,,bad_part
bad_part,Pflanzeninventar,,bad_part
bad_part,tesis envanteri,,bad_part
bad_part,inventário de plantas,,bad_part
bad_part,plants atlas,,bad_part
bad_part,atlas des plantes,,bad_part
bad_part,plantis atlas,,bad_part
bad_part,atlas de plantas,,bad_part
bad_part,Pflanzenatlas,,bad_part
bad_part,bitkiler atlası,,bad_part
bad_part,atlas de plantas,,bad_part
bad_part,plants inventory,,bad_part
bad_part,inventaire des plantes,,bad_part
bad_part,plantis inventory,,bad_part
bad_part,inventario de plantas,,bad_part
bad_part,Pflanzeninventar,,bad_part
bad_part,bitki envanteri,,bad_part
bad_part,inventário de plantas,,bad_part
bad_part,plants of,,bad_part
bad_part,plantes de,,bad_part
bad_part,plantae of *,,bad_part
bad_part,plantas de,,bad_part
bad_part,Pflanzen von,,bad_part
bad_part,bitkiler,,bad_part
bad_part,plantas de,,bad_part
part_term,acephalous,corona,flower_part
part_term,acéphale,corona,flower_part
part_term,acephalus,corona,flower_part
part_term,acéfalo,corona,flower_part
part_term,azephal,corona,flower_part
part_term,başsız,corona,flower_part
part_term,acéfalo,corona,flower_part
part_term,achlamydeous,achlamydeous,flower_part
part_term,achlamydée,achlamydeous,flower_part
part_term,achlamydeous,achlamydeous,flower_part
part_term,aclamido,achlamydeous,flower_part
part_term,achlamydös,achlamydeous,flower_part
part_term,aklamidöz,achlamydeous,flower_part
part_term,aclamídeo,achlamydeous,flower_part
part_term,acutangular,acutangular,plant_part
part_term,acutangulaire,acutangular,plant_part
part_term,acutangulare,acutangular,plant_part
part_term,acutangular,acutangular,plant_part
part_term,akutangular,acutangular,plant_part
part_term,akut köşeli,acutangular,plant_part
part_term,acutangular,acutangular,plant_part
part_term,adelphous,adelphous,male_flower_part
part_term,adelfo,adelphous,male_flower_part
part_term,adelphos,adelphous,male_flower_part
part_term,adelphous,adelphous,male_flower_part
part_term,Adelfo,adelphous,male_flower_part
part_term,androecia,stamen,male_flower_part
part_term,androécie,stamen,male_flower_part
part_term,androecia,stamen,male_flower_part
part_term,Androezie,stamen,male_flower_part
part_term,Androecia,stamen,male_flower_part
part_term,androécia,stamen,male_flower_part
part_term,androecium,stamen,male_flower_part
part_term,androcée,stamen,male_flower_part
part_term,androecium,stamen,male_flower_part
part_term,androceo,stamen,male_flower_part
part_term,Androeceum,stamen,male_flower_part
part_term,androecyum,stamen,male_flower_part
part_term,androceu,stamen,male_flower_part
part_term,anthela,anthela,inflorescence
part_term,anthéla,anthela,inflorescence
part_term,anthela,anthela,inflorescence
part_term,antela,anthela,inflorescence
part_term,anthela,anthela,inflorescence
part_term,anther,anther,male_flower_part
part_term,anthère,anther,male_flower_part
part_term,anthera,anther,male_flower_part
part_term,antera,anther,male_flower_part
part_term,Staubbeutel,anther,male_flower_part
part_term,anter,anther,male_flower_part
